customerId,customerLoc
1002,30069
1801,30077
1201,30029
1401,30045
1002,30070
1702,30074
1801,30076
1002,30073
1003,30067
1801,30076
1003,30066
1501,30022
1801,30076
1601,30047
1001,30025
1001,30026
1002,30071
1801,30077
1401,30045
1801,30078
1501,30022
1301,30013
1001,30027
1201,30029
1001,30072
1003,30068
1801,30077
1701,30065
1801,30078
1801,30078
1702,30074
1101,30046
