Action Type,Option ID,Location Type,Location ID,On-Query Reason Code
ADD,100014841,Parent Warehouse,FC01,15
ADD,100014842,Parent Warehouse,FC01,15
ADD,100014845,Parent Warehouse,FC01,15
ADD,100014846,Parent Warehouse,FC01,15
ADD,100014851,Parent Warehouse,FC01,15
ADD,100014852,Parent Warehouse,FC01,15
ADD,100014853,Parent Warehouse,FC01,15
ADD,100014854,Parent Warehouse,FC01,15
ADD,100014855,Parent Warehouse,FC01,15
ADD,100014856,Parent Warehouse,FC01,15
ADD,100014862,Parent Warehouse,FC01,15
ADD,100014864,Parent Warehouse,FC01,15
ADD,100014865,Parent Warehouse,FC01,15
ADD,100014866,Parent Warehouse,FC01,15
ADD,100014871,Parent Warehouse,FC01,15
ADD,100014873,Parent Warehouse,FC01,15
ADD,100014874,Parent Warehouse,FC01,15
ADD,100014875,Parent Warehouse,FC01,15
ADD,100014877,Parent Warehouse,FC01,15
ADD,100014880,Parent Warehouse,FC01,15
ADD,100014881,Parent Warehouse,FC01,15
ADD,100014882,Parent Warehouse,FC01,15
ADD,100014884,Parent Warehouse,FC01,15
ADD,100014886,Parent Warehouse,FC01,15
ADD,100014887,Parent Warehouse,FC01,15
ADD,100014888,Parent Warehouse,FC01,15
ADD,100014890,Parent Warehouse,FC01,15
ADD,100014892,Parent Warehouse,FC01,15
ADD,100014893,Parent Warehouse,FC01,15
ADD,100014895,Parent Warehouse,FC01,15
ADD,100014897,Parent Warehouse,FC01,15
ADD,100014898,Parent Warehouse,FC01,15
ADD,100014899,Parent Warehouse,FC01,15
ADD,100014900,Parent Warehouse,FC01,15
ADD,100014903,Parent Warehouse,FC01,15
ADD,100014904,Parent Warehouse,FC01,15
ADD,100014905,Parent Warehouse,FC01,15
ADD,100014906,Parent Warehouse,FC01,15
ADD,100014911,Parent Warehouse,FC01,15
ADD,100014912,Parent Warehouse,FC01,15
ADD,100014913,Parent Warehouse,FC01,15
ADD,100014914,Parent Warehouse,FC01,15
ADD,100014915,Parent Warehouse,FC01,15
ADD,100014916,Parent Warehouse,FC01,15
ADD,100014917,Parent Warehouse,FC01,15
ADD,100014918,Parent Warehouse,FC01,15
ADD,100014919,Parent Warehouse,FC01,15
ADD,100014920,Parent Warehouse,FC01,15
ADD,100014925,Parent Warehouse,FC01,15
ADD,100014926,Parent Warehouse,FC01,15
ADD,100014928,Parent Warehouse,FC01,15
ADD,100014930,Parent Warehouse,FC01,15
ADD,100014931,Parent Warehouse,FC01,15
ADD,100014934,Parent Warehouse,FC01,15
ADD,100014935,Parent Warehouse,FC01,15
ADD,100014936,Parent Warehouse,FC01,15
ADD,100014937,Parent Warehouse,FC01,15
ADD,100014945,Parent Warehouse,FC01,15
ADD,100014946,Parent Warehouse,FC01,15
ADD,100014947,Parent Warehouse,FC01,15
ADD,100014948,Parent Warehouse,FC01,15
ADD,100014949,Parent Warehouse,FC01,15
ADD,100014950,Parent Warehouse,FC01,15
ADD,100014954,Parent Warehouse,FC01,15
ADD,100014958,Parent Warehouse,FC01,15
ADD,100014959,Parent Warehouse,FC01,15
ADD,100014960,Parent Warehouse,FC01,15
ADD,100014961,Parent Warehouse,FC01,15
ADD,100014962,Parent Warehouse,FC01,15
ADD,100014964,Parent Warehouse,FC01,15
ADD,100014965,Parent Warehouse,FC01,15
ADD,100014966,Parent Warehouse,FC01,15
ADD,100014980,Parent Warehouse,FC01,15
ADD,100014981,Parent Warehouse,FC01,15
ADD,100014982,Parent Warehouse,FC01,15
ADD,100014996,Parent Warehouse,FC01,15
ADD,100015010,Parent Warehouse,FC01,15
ADD,100015011,Parent Warehouse,FC01,15
ADD,100015012,Parent Warehouse,FC01,15
ADD,100015013,Parent Warehouse,FC01,15
ADD,100015014,Parent Warehouse,FC01,15
ADD,100015015,Parent Warehouse,FC01,15
ADD,100015016,Parent Warehouse,FC01,15
ADD,100015017,Parent Warehouse,FC01,15
ADD,100015018,Parent Warehouse,FC01,15
ADD,100015024,Parent Warehouse,FC01,15
ADD,100015025,Parent Warehouse,FC01,15
ADD,100015026,Parent Warehouse,FC01,15
ADD,100015028,Parent Warehouse,FC01,15
ADD,100015029,Parent Warehouse,FC01,15
ADD,100015030,Parent Warehouse,FC01,15
ADD,100015031,Parent Warehouse,FC01,15
ADD,100015033,Parent Warehouse,FC01,15
ADD,100015034,Parent Warehouse,FC01,15
ADD,100015035,Parent Warehouse,FC01,15
ADD,100015037,Parent Warehouse,FC01,15
ADD,100015038,Parent Warehouse,FC01,15
ADD,100015042,Parent Warehouse,FC01,15
ADD,100015043,Parent Warehouse,FC01,15
ADD,100015044,Parent Warehouse,FC01,15
ADD,100015048,Parent Warehouse,FC01,15
ADD,100015049,Parent Warehouse,FC01,15
ADD,100015051,Parent Warehouse,FC01,15
ADD,100015061,Parent Warehouse,FC01,15
ADD,100015062,Parent Warehouse,FC01,15
ADD,100015063,Parent Warehouse,FC01,15
ADD,100015066,Parent Warehouse,FC01,15
ADD,100015067,Parent Warehouse,FC01,15
ADD,100015068,Parent Warehouse,FC01,15
ADD,100015069,Parent Warehouse,FC01,15
ADD,100015070,Parent Warehouse,FC01,15
ADD,100015071,Parent Warehouse,FC01,15
ADD,100015072,Parent Warehouse,FC01,15
ADD,100015073,Parent Warehouse,FC01,15
ADD,100015074,Parent Warehouse,FC01,15
ADD,100015075,Parent Warehouse,FC01,15
ADD,100015076,Parent Warehouse,FC01,15
ADD,100015078,Parent Warehouse,FC01,15
ADD,100015079,Parent Warehouse,FC01,15
ADD,100015080,Parent Warehouse,FC01,15
ADD,100015083,Parent Warehouse,FC01,15
ADD,100015086,Parent Warehouse,FC01,15
ADD,100015088,Parent Warehouse,FC01,15
ADD,100015089,Parent Warehouse,FC01,15
ADD,100015092,Parent Warehouse,FC01,15
ADD,100015093,Parent Warehouse,FC01,15
ADD,100015094,Parent Warehouse,FC01,15
ADD,100015096,Parent Warehouse,FC01,15
ADD,100015098,Parent Warehouse,FC01,15
ADD,100015099,Parent Warehouse,FC01,15
ADD,100015100,Parent Warehouse,FC01,15
ADD,100015101,Parent Warehouse,FC01,15
ADD,100015102,Parent Warehouse,FC01,15
ADD,100015103,Parent Warehouse,FC01,15
ADD,100015104,Parent Warehouse,FC01,15
ADD,100015105,Parent Warehouse,FC01,15
ADD,100015106,Parent Warehouse,FC01,15
ADD,100015107,Parent Warehouse,FC01,15
ADD,100015108,Parent Warehouse,FC01,15
ADD,100015109,Parent Warehouse,FC01,15
ADD,100015110,Parent Warehouse,FC01,15
ADD,100015114,Parent Warehouse,FC01,15
ADD,100015125,Parent Warehouse,FC01,15
ADD,100015136,Parent Warehouse,FC01,15
ADD,100015138,Parent Warehouse,FC01,15
ADD,100015139,Parent Warehouse,FC01,15
ADD,100015140,Parent Warehouse,FC01,15
ADD,100015141,Parent Warehouse,FC01,15
ADD,100015142,Parent Warehouse,FC01,15
ADD,100015143,Parent Warehouse,FC01,15
ADD,100015144,Parent Warehouse,FC01,15
ADD,100015147,Parent Warehouse,FC01,15
ADD,100015148,Parent Warehouse,FC01,15
ADD,100015149,Parent Warehouse,FC01,15
ADD,100015153,Parent Warehouse,FC01,15
ADD,100015154,Parent Warehouse,FC01,15
ADD,100015155,Parent Warehouse,FC01,15
ADD,100015156,Parent Warehouse,FC01,15
ADD,100015158,Parent Warehouse,FC01,15
ADD,100015159,Parent Warehouse,FC01,15
ADD,100015161,Parent Warehouse,FC01,15
ADD,100015162,Parent Warehouse,FC01,15
ADD,100015163,Parent Warehouse,FC01,15
ADD,100015171,Parent Warehouse,FC01,15
ADD,100015172,Parent Warehouse,FC01,15
ADD,100015173,Parent Warehouse,FC01,15
ADD,100015175,Parent Warehouse,FC01,15
ADD,100015176,Parent Warehouse,FC01,15
ADD,100015177,Parent Warehouse,FC01,15
ADD,100015180,Parent Warehouse,FC01,15
ADD,100015181,Parent Warehouse,FC01,15
ADD,100015183,Parent Warehouse,FC01,15
ADD,100015184,Parent Warehouse,FC01,15
ADD,100015185,Parent Warehouse,FC01,15
ADD,100015186,Parent Warehouse,FC01,15
ADD,100015187,Parent Warehouse,FC01,15
ADD,100015190,Parent Warehouse,FC01,15
ADD,100015191,Parent Warehouse,FC01,15
ADD,100015196,Parent Warehouse,FC01,15
ADD,100015197,Parent Warehouse,FC01,15
ADD,100015199,Parent Warehouse,FC01,15
ADD,100015200,Parent Warehouse,FC01,15
ADD,100015201,Parent Warehouse,FC01,15
ADD,100015202,Parent Warehouse,FC01,15
ADD,100015203,Parent Warehouse,FC01,15
ADD,100015205,Parent Warehouse,FC01,15
ADD,100015207,Parent Warehouse,FC01,15
ADD,100015208,Parent Warehouse,FC01,15
ADD,100015209,Parent Warehouse,FC01,15
ADD,100015212,Parent Warehouse,FC01,15
ADD,100015213,Parent Warehouse,FC01,15
ADD,100015214,Parent Warehouse,FC01,15
ADD,100015219,Parent Warehouse,FC01,15
ADD,100015220,Parent Warehouse,FC01,15
ADD,100015221,Parent Warehouse,FC01,15
ADD,100015223,Parent Warehouse,FC01,15
ADD,100015224,Parent Warehouse,FC01,15
ADD,100015225,Parent Warehouse,FC01,15
ADD,100015226,Parent Warehouse,FC01,15
ADD,100015227,Parent Warehouse,FC01,15
ADD,100015228,Parent Warehouse,FC01,15
ADD,100015232,Parent Warehouse,FC01,15
ADD,100015233,Parent Warehouse,FC01,15
ADD,100015234,Parent Warehouse,FC01,15
ADD,100015235,Parent Warehouse,FC01,15
ADD,100015236,Parent Warehouse,FC01,15
ADD,100015237,Parent Warehouse,FC01,15
ADD,100015238,Parent Warehouse,FC01,15
ADD,100015241,Parent Warehouse,FC01,15
ADD,100015242,Parent Warehouse,FC01,15
ADD,100015243,Parent Warehouse,FC01,15
ADD,100015244,Parent Warehouse,FC01,15
ADD,100015253,Parent Warehouse,FC01,15
ADD,100015254,Parent Warehouse,FC01,15
ADD,100015256,Parent Warehouse,FC01,15
ADD,100015260,Parent Warehouse,FC01,15
