OptionID,DespatchMonth,PartnerID,Store_Name,DC,StoreID,SalesOrder,SalesOrdtype,CancelId,CancelDate,Units_by_size,Error_desc,Buying_Group,Business_Model_Name,OrderRowCode,OriginalErrorDate,Assigned_Team,Brand_Code,OB_Name,OB_Tab_Name
117725285,01-FEB-23,30027,Nordstrom RSW,,,LJQ8AQNR,MCO,,,W26L30:0|W28L30:0|W30L30:0|W32L30:0|W34L30:0|W24L30:3900|W25L30:0|W27L30:0|W29L30:0|W31L30:0|W33L30:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#LJQ8AQ,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
117725285,01-FEB-23,30067,Nordstrom Canada FLS,,,LJQ8AQNB,MCO,,,W26L30:0|W28L30:0|W30L30:0|W32L30:0|W34L30:0|W24L30:0|W25L30:0|W27L30:0|W29L30:0|W31L30:0|W33L30:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#LJQ8AQ,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
117725285,01-FEB-23,30072,Nordstrom DIR West,,,LJQ8AQNJ,MCO,,,W24L30:120,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#LJQ8AQ,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
117727194,01-FEB-23,30022,Namshi,,,VX8SVWNM,MCO,,,UK6:5|UK8:7|UK10:7|UK12:6|UK14:6|UK16:4|UK18:0|UK4:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Miss Selfridge WB,Miss Selfridge,#VX8SVW,17-FEB-23,Commercial Team,MS,Miss S Order Book Nov 21 Onwards,TAILORING
118706615,01-FEB-23,30013,LaModa,,,KNDMVLLM,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Miss Selfridge WB,Miss Selfridge,#KNDMVL,17-FEB-23,Commercial Team,MS,Miss S Order Book Nov 21 Onwards,TAILORING
118706615,01-FEB-23,30022,Namshi,,,KNDMVLNM,MCO,,,UK6:7|UK8:10|UK10:10|UK12:9|UK14:8|UK16:6|UK18:0|UK4:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Miss Selfridge WB,Miss Selfridge,#KNDMVL,17-FEB-23,Commercial Team,MS,Miss S Order Book Nov 21 Onwards,TAILORING
118816881,01-FEB-23,30025,Nordstrom DIR East,,,36KUR9NI,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Woven Tops TS,Topshop,#36KUR9,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
118816881,01-FEB-23,30026,Nordstrom FLS,,,36KUR9NF,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Cannot cancel non-existing Sales Order.,Woven Tops TS,Topshop,#36KUR9,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
118816881,01-FEB-23,30029,The Iconic,,,36KUR9IC,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Woven Tops TS,Topshop,#36KUR9,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
118816881,01-FEB-23,30065,Dafiti Chile,,,36KUR9DA,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0,Cannot cancel non-existing Sales Order.,Woven Tops TS,Topshop,#36KUR9,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
118816881,01-FEB-23,30072,Nordstrom DIR West,,,36KUR9NJ,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0,Cannot cancel non-existing Sales Order.,Woven Tops TS,Topshop,#36KUR9,17-FEB-23,Wholesale Team,TS,APPAREL 1,Woven Sep
