Avg Response time,,Count,%,
SC12_MassSearch_TR03_Manage_SO,,1125,0.159,0.254
SC12_MassSearch_TR04_Biz_Model,,1125,0.055,0.114
SC12_MassSearch_TR05_Search,,1124,2.379,2.511
SC12_MassSearch_TR06_Logout,,1122,0.02,0.03
SC13_SalesOrderEdit_TR01_Launch,,828,0.005,0.004
SC13_SalesOrderEdit_TR02_Login,,828,0.693,0.803
SC13_SalesOrderEdit_TR03_Manage_SO,,828,0.155,0.25
SC13_SalesOrderEdit_TR04_Biz_Model,,828,0.053,0.112
SC13_SalesOrderEdit_TR05_PO_Search,,827,0.103,0.164
SC13_SalesOrderEdit_TR05_Click_SO,,827,0.395,0.514
SC13_SalesOrderEdit_TR06_Partner_PO,,826,0.151,0.22
SC13_SalesOrderEdit_TR07_Save,,825,0.059,0.12
SC13_SalesOrderEdit_TR08_Click_Close,,825,0.058,0.118
SC13_SalesOrderEdit_TR09_Logout,,825,0.019,0.032
SC14_SingleSalesOrderRelease_TR01_Launch,,722,0.005,0.005
SC14_SingleSalesOrderRelease_TR02_Login,,722,0.548,0.672
SC14_SingleSalesOrderRelease_TR03_Wholesale,,721,0.206,0.298
SC14_SingleSalesOrderRelease_TR04_Select_SO,,721,0.054,0.116
SC14_SingleSalesOrderRelease_TR05_Click_Release_SOR,,720,0.106,0.164
SC14_SingleSalesOrderRelease_TR06_Click_Ok,,720,0.224,0.318
SC14_SingleSalesOrderRelease_TR07_Click_Close,,720,0.504,0.582
SC14_SingleSalesOrderRelease_TR08_Logout,,720,0.021,0.03
SC15_BulkSalesOrderRelease_TR01_Launch,,5,0.015,0.016
SC15_BulkSalesOrderRelease_TR02_Login,,5,0.552,0.658
SC15_BulkSalesOrderRelease_TR03_Enlarge_SOR,,5,0.521,0.539
SC15_BulkSalesOrderRelease_TR04_Click_Release_SOR,,5,0.036,0.035
SC15_BulkSalesOrderRelease_TR05_Click_Ok,,5,0.216,0.253
SC15_BulkSalesOrderRelease_TR06_Click_Close,,1,0.481,0.481
SC15_BulkSalesOrderRelease_TR07_Logout,,1,0.022,0.022
