Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Task/WholesaleWebApp/css/jrafRedwood/10.1.0/web/images/raf-icon-rw-task_onb.svg-464,1161,3,3,5,6,12,2,67,0.000%,.32308,0.29,0.00
Task/WholesaleWebApp/css/jrafRedwood/10.1.0/web/images/raf-icon-rw-search_ena.svg-465,1161,3,3,6,7,17,2,89,0.000%,.32308,0.39,0.00
SC10_International_Size_Download_TR04_Wholesale,1161,3,3,5,7,13,2,49,0.000%,.32308,0.26,0.00
Wholesale,1442,133,119,218,254,292,43,358,0.000%,.40124,0.85,0.00
SC02_Dashboard_Enlarge_TR04_Pre-Receipt Enlarge,1210,306,285,371,412,455,231,723,0.000%,.33661,5.82,0.00
SC14_SingleSalesOrderRelease_TR04_Select_SO,721,54,41,116,121,193,20,291,0.000%,.20064,0.15,0.00
Login/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-106,1364,54,42,114,121,164,26,196,0.000%,.38010,0.29,0.00
SC03_Pre_Receipt_Variance_TR05_Pre Receipt window,1372,166,143,230,280,315,92,939,0.000%,.38173,305.31,0.00
Login/WholesalePortalRestServices/services/dashboards-141,1364,254,238,314,328,370,209,567,0.000%,.38008,6.28,0.00
SC06_Sales_Order_Release_TR05_Sales Order Window,1540,230,227,326,373,431,110,1167,0.000%,.42851,14.40,0.00
SC08_SinglePO_Search_TR05_Biz_Model,1716,53,38,111,118,175,22,229,0.000%,.47772,2.01,0.00
SC11_Report_Export_TR05_Select Business Model,664,54,38,111,117,192,22,802,0.000%,.18498,0.78,0.00
SC09_International_Size_Upload_TR05_Click Upload,794,69,54,127,135,202,33,702,0.000%,.22114,2.83,0.00
SC13_SalesOrderEdit_TR05_PO_Search,827,103,83,164,193,240,47,471,0.000%,.23024,0.44,0.00
SC07_Unproductive_Stock_TR05_Unproductive Stock Window,1547,182,158,241,288,326,118,376,0.000%,.43049,0.89,0.00
SC10_International_Size_Download_TR05_Upload Task,1161,14,13,19,25,34,9,81,0.000%,.32308,3.88,0.00
Login/WholesalePortalRestServices/services/dashboards-146,1364,252,237,311,323,362,207,1191,0.000%,.38008,6.28,0.00
Click Slippage dashboard/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-155,1364,52,40,115,121,150,20,294,0.000%,.38011,0.29,0.00
SC04_Slippage_Variance_TR04_Click Slippage dashboard,1364,52,40,115,121,150,20,294,0.000%,.38011,0.29,0.00
expand slip/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-415,1209,52,39,117,123,190,19,767,0.000%,.33659,0.26,0.00
SC05_Post_Receipt_Variance_TR04_Click_PO,1426,1053,1042,1250,1313,1463,632,2254,0.000%,.39695,5.14,0.00
SC14_SingleSalesOrderRelease_TR05_Click_Release_SOR,720,106,83,164,210,236,46,829,0.000%,.20074,0.26,0.00
SC02_Dashboard_Enlarge_TR05_Slippage Enlarge,1209,302,284,364,390,447,227,546,0.000%,.33657,5.82,0.00
SC03_Pre_Receipt_Variance_TR06_Enter PO number,1370,99,77,163,187,250,42,724,0.000%,.38162,1.89,0.00
click Sales order -47,1538,54,40,116,121,144,21,220,0.000%,.42820,0.33,0.00
SC08_SinglePO_Search_TR06_EnterPO_Search,1716,108,84,168,219,255,44,1379,0.000%,.47772,0.92,0.00
SC09_International_Size_Upload_TR06_Select International Size,794,51,39,115,122,162,19,213,0.000%,.22115,0.17,0.00
SC10_International_Size_Download_TR06_Select Template,1159,106,84,167,221,258,42,748,0.000%,.32269,0.50,0.00
SC04_Slippage_Variance_TR05_Click Slippage dashboard window,1364,119,94,182,226,251,47,1491,0.000%,.38010,53.18,0.00
close-86,1545,253,237,311,323,383,201,814,0.000%,.43082,7.12,0.00
SC13_SalesOrderEdit_TR05_Click_SO,827,395,389,514,568,671,203,1476,0.000%,.23023,5.90,0.00
SC05_Post_Receipt_Variance_TR05_Click_Ok,1426,113,89,169,222,247,50,858,0.000%,.39705,0.60,0.00
SC14_SingleSalesOrderRelease_TR06_Click_Ok,720,224,219,318,360,458,97,768,0.000%,.20073,0.61,0.00
SC02_Dashboard_Enlarge_TR06_Post-Receipt Enlarge,1209,359,355,451,477,540,255,1026,0.000%,.33657,6.08,0.00
SC03_Pre_Receipt_Variance_TR07_Search,1370,53,39,115,120,154,23,307,0.000%,.38161,0.35,0.00
SC09_International_Size_Upload_TR07_Click Add,794,44,26,115,122,190,20,348,0.000%,.22115,0.17,0.00
close-48,1538,253,238,311,321,359,206,832,0.000%,.42818,7.08,0.00
SC10_International_Size_Download_TR07_Click Download,1159,55,40,114,121,162,22,298,0.000%,.32270,0.30,0.00
Reset/WholesalePortalRestServices/services/dashboards-398,1715,252,237,311,322,376,203,489,0.000%,.47801,7.90,0.00
Click Slippage dashboard window/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-233,1364,52,39,114,121,135,20,216,0.000%,.38011,0.29,0.00
SC12_MassSearch_TR05_Search,1124,2379,2365,2511,2561,2755,2159,3038,0.000%,.31281,1234.96,0.00
Reset/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-399,1715,52,40,115,121,151,19,445,0.000%,.47803,0.36,0.00
close-87,1545,54,41,115,121,153,20,781,0.000%,.43085,0.33,0.00
SC08_SinglePO_Search_TR07_Logout,1715,19,12,29,91,97,5,904,0.000%,.47804,0.41,0.00
SC04_Slippage_Variance_TR06_Enter PO Number,1364,54,45,119,124,149,19,802,0.000%,.38011,0.30,0.00
SC13_SalesOrderEdit_TR06_Partner_PO,826,151,130,220,262,297,62,1012,0.000%,.23000,0.54,0.00
SC05_Post_Receipt_Variance_TR06_Click_Close,1425,502,483,574,607,658,422,1055,0.000%,.39697,13.12,0.00
expand sales/WholesalePortalRestServices/services/lovSearch/getPartnerLocLov-421,1208,52,37,111,116,145,22,260,0.000%,.33665,0.98,0.00
expand sales/WholesalePortalRestServices/services/lovSearch/getAsosFCentreReleaseLov-422,1208,52,38,114,118,154,22,633,0.000%,.33665,0.49,0.00
cli-19,1370,53,41,115,121,140,19,339,0.000%,.38162,0.29,0.00
SC14_SingleSalesOrderRelease_TR07_Click_Close,720,504,488,582,614,659,421,711,0.000%,.20071,6.63,0.00
SC03_Pre_Receipt_Variance_TR08_Click On PO,1370,53,39,115,121,146,22,973,0.000%,.38162,0.25,0.00
expand sales/WholesalePortalRestServices/services/lovSearch/getFreightTypeLov-423,1208,52,40,114,118,138,21,748,0.000%,.33665,0.26,0.00
expand sales/WholesalePortalRestServices/services/sorelease/getSalesOrderReleaseSearch-424,1208,54,41,114,118,165,23,204,0.000%,.33666,0.20,0.00
SC09_International_Size_Upload_TR08_Select File,794,66,50,127,134,200,34,303,0.000%,.22115,0.15,0.00
SC06_Sales_Order_Release_TR06_Logout,1536,20,13,30,92,104,5,196,0.000%,.42853,0.36,0.00
close/RetailAppsReSTServices/services/private/Notifications/fetch/unreadcount-476,1158,50,37,115,121,152,20,258,0.000%,.32311,0.25,0.00
SC11_Report_Export_TR06_Search,664,2333,2321,2442,2508,2631,2127,3292,0.000%,.18486,729.69,0.00
SC02_Dashboard_Enlarge_TR07_Sales Order Enlarge,1208,252,238,312,322,349,207,444,0.000%,.33663,5.56,0.00
SC07_Unproductive_Stock_TR06_Logout,1545,19,13,31,91,97,5,186,0.000%,.43085,0.37,0.00
SC04_Slippage_Variance_TR07_Click Search,1364,52,37,111,117,141,22,1052,0.000%,.38011,0.23,0.00
SC13_SalesOrderEdit_TR07_Save,825,59,45,120,129,194,28,333,0.000%,.23034,0.17,0.00
Reset,1947,276,262,352,375,441,206,895,0.000%,.54316,9.15,0.00
close/WholesalePortalRestServices/services/dashboards-477,1158,251,236,311,325,352,208,1065,0.000%,.32309,5.34,0.00
SC12_MassSearch_TR06_Logout,1122,20,13,30,92,115,5,186,0.000%,.31302,0.27,0.00
SC10_International_Size_Download_TR08_Logout,1158,19,13,30,91,99,5,252,0.000%,.32310,0.27,0.00
SC05_Post_Receipt_Variance_TR08_Logout,1425,19,13,29,92,94,5,198,0.000%,.39703,0.34,0.00
SC14_SingleSalesOrderRelease_TR08_Logout,720,21,12,30,92,106,5,651,0.000%,.20074,0.17,0.00
close-21,1369,253,238,312,322,348,208,459,0.000%,.38153,6.30,0.00
SC11_Report_Export_TR07_Click Action,663,53,39,118,121,150,20,349,0.000%,.18472,0.14,0.00
SC09_International_Size_Upload_TR09_Click upload,793,167,146,235,280,315,95,433,0.000%,.22094,3.64,0.00
SC03_Pre_Receipt_Variance_TR09_Logout,1369,19,12,30,91,96,5,130,0.000%,.38155,0.32,0.00
expand unprod/WholesalePortalRestServices/services/lovSearch/getAsosFCentreUnprodLov-426,1208,92,77,151,157,218,58,756,0.000%,.33665,0.49,0.00
SC04_Slippage_Variance_TR08_Click On PO,1364,53,39,113,117,142,22,805,0.000%,.38012,0.27,0.00
