180605,"2023-01-20 11:34:17.69","#DDKQDE",55.00,71.99,102.00,136.00,"2023-02-01","116053090","MCO",1,,,,"",,"DDKQDENF",30026,1001,"2023-02-01","2023-02-28","USD",33.66,50,"UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0","TS","APPAREL 2","Formal"
180605,"2023-01-20 11:34:17.69","#DDKQDE",55.00,71.99,102.00,136.00,"2023-02-01","116053090","MCO",1,,,"P16","2023-01-13",,"DDKQDEYX",30045,1001,"2023-02-01","2023-02-28","EUR",28.80,0,"UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0|UK4:0","TS","APPAREL 2","Formal"
180605,"2023-01-20 11:34:17.69","#DDKQDE",55.00,71.99,102.00,136.00,"2023-02-01","116053090","MCO",1,,,,"",,"DDKQDENB",30067,1001,"2023-02-01","2023-02-28","CAD",136.00,0,"UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0","TS","APPAREL 2","Formal"
180605,"2023-01-20 11:34:17.69","#DDKQDE",55.00,71.99,102.00,136.00,"2023-02-01","116053090","MCO",1,,,,"",,"DDKQDENJ",30072,1001,"2023-02-01","2023-02-28","USD",33.66,0,"UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0","TS","APPAREL 2","Formal"
181487,"2022-12-20 14:40:21.70","#BM8894",40.00,51.99,74.00,99.00,"2023-02-01","108048494","MCO",1,,,,"",,"BM8894NI",30025,1001,"2023-02-01","2023-02-28","USD",24.42,0,"W24L30:0","TS","JEANS NEW","Denim"
181487,"2022-12-20 14:40:21.70","#BM8894",40.00,51.99,74.00,99.00,"2023-02-01","108048494","MCO",1,,,,"",,"BM8894NF",30026,1001,"2023-02-01","2023-02-28","USD",24.42,0,"W24L30:0","TS","JEANS NEW","Denim"
181487,"2022-12-20 14:40:21.70","#BM8894",40.00,51.99,74.00,99.00,"2023-02-01","108048494","MCO",1,,,,"",,"BM8894NR",30027,1001,"2023-02-01","2023-02-28","USD",24.42,4100,"W25L32:484|W26L32:750|W28L32:668|W30L32:369|W32L32:139|W34L32:21|W24L32:90|W27L32:787|W29L32:529|W31L32:234|W33L32:29","TS","JEANS NEW","Denim"
181487,"2022-12-20 14:40:21.70","#BM8894",40.00,51.99,74.00,99.00,"2023-02-01","108048494","MCO",1,,,,"",,"BM8894NC",30068,1001,"2023-02-01","2023-02-28","CAD",49.50,360,"W25L32:42|W26L32:66|W28L32:59|W30L32:32|W32L32:13|W34L32:2|W24L32:8|W27L32:69|W29L32:47|W31L32:20|W33L32:2","TS","JEANS NEW","Denim"
181487,"2022-12-20 14:40:21.70","#BM8894",40.00,51.99,74.00,99.00,"2023-02-01","108048494","MCO",1,,,,"",,"BM8894NJ",30072,1001,"2023-02-01","2023-02-28","USD",24.42,0,"W24L30:0","TS","JEANS NEW","Denim"
181496,"2022-12-20 15:07:19.21","#LJQ8AQ",40.00,51.99,74.00,99.00,"2023-02-01","117725285","MCO",1,,,,"",,"LJQ8AQNI",30025,1001,"2023-02-01","2023-02-28","USD",24.42,80,"W24L30:80","TS","JEANS NEW","Denim"
