Item_Number,Barcodes
143712775,2200004900063
143712776,2200004900070
143712777,2200004900087
143712779,2200004900094
143712781,2200004900100
143712785,2200004900117
143712793,2200004900124
143712794,2200004900131
143712795,2200004900148
143712796,2200004900155
143712797,2200004900162
143712801,2200004900179
143712802,2200004900186
143712803,2200004900193
143712806,2200004900209
143712807,2200004900216
143712809,2200004900223
143712813,2200004900230
143712814,2200004900247
143712816,2200004900254
143712818,2200004900261
143712820,2200004900278
143712821,2200004900315
143712823,2200004900339
143712824,2200004900377
143712826,2200004900384
143712828,2200004900391
143712829,2200004900407
143712830,2200004900414
143712831,2200004900421
143712833,2200004900438
143712843,2200004900445
143712844,2200004900452
143712845,2200004900469
143712846,2200004900476
143712849,2200004900483
143712851,2200004900490
143712852,2200004900506
143712853,2200004900513
143712855,2200004900520
143712856,2200004900537
143712860,2200004900544
143712863,2200004900551
143712865,2200004900568
143712866,2200004900575
143712867,2200004900582
143712869,2200004900599
143712871,2200004900605
143712874,2200004900612
143712875,2200004900629
143712877,2200004900636
143712878,2200004900643
143712879,2200004900650
143712880,2200004900667
143712881,2200004900674
143712886,2200004900681
143712893,2200004900698
143712894,2200004900704
143712895,2200004900711
143712897,2200004900728
143712898,2200004900735
143712899,2200004900742
143712900,2200004900780
143712903,2200004900797
143712904,2200004900803
143712905,2200004900810
143712910,2200004900827
143712913,2200004900834
143712914,2200004900841
143712916,2200004900858
143712917,2200004900865
143712919,2200004900902
143712920,2200004900919
143712923,2200004900926
143712926,2200004900933
143712927,2200004900940
143712928,2200004900957
143712930,2200004900964
143712931,2200004900971
143712933,2200004900988
143712939,2200004900995
143712942,2200004901008
143712944,2200004901015
143712946,2200004901022
143712947,2200004901039
143712948,2200004901046
143712949,2200004901053
143712950,2200004901060
143712952,2200004901077
143712955,2200004901084
143712957,2200004901091
143712961,2200004901107
143712962,2200004901114
143712963,2200004901121
143712965,2200004901138
143712966,2200004901145
143712968,2200004901152
143712970,2200004901169
143712974,2200004901176
143712976,2200004901183
143712977,2200004901190
143712979,2200004901206
143712981,2200004901213
143712982,2200004901220
143712983,2200004901237
143712991,2200004901244
143712992,2200004901251
143712994,2200004901268
143712996,2200004901275
143712997,2200004901282
143712999,2200004901299
143713000,2200004901305
143713001,2200004901312
143713003,2200004901329
143713005,2200004901336
143713009,2200004901343
143713011,2200004901350
143713012,2200004901367
143713013,2200004901374
