Group no,Item_Number_1,Item_Number_2,Item_Number_3,Item_Number_4
12214,143355502,142431503,142974255,141860729
12215,143355501,142431502,142974254,141860728
12216,143355500,142431428,142974253,141860695
12217,143355499,142431427,142974252,141860691
12218,143355498,142431426,142974251,141860661
12221,143355497,142431425,142974244,141860202
12222,143355496,142431424,142974207,141860197
12226,143355495,142431423,142974206,141860118
12229,143355431,142431422,142974205,141860117
12230,143355430,142431421,142974198,141860116
12231,143355429,142431262,142974197,141860099
12232,143355428,142431261,142973839,141860098
12233,143355427,142431174,142973838,141860097
12234,143355397,142431173,142973835,141860096
12235,143355350,142431172,142973834,141860091
12237,143355349,142431171,142973833,141860040
12239,143355338,142430094,142973832,141860037
12240,143355300,142430093,142973831,141860036
12241,143355292,142430092,142973830,141860028
12242,143329932,142430091,142973748,141860001
12243,143329930,142430090,142973747,141859862
12244,143329929,142430089,142973744,141859861
12245,143329928,142430088,142973743,141859860
12246,143329906,142430087,142973742,141859787
12247,143329905,142430086,142973741,141859786
12248,143329904,142430085,142973740,141859785
12249,143329833,142430071,142973739,141859784
12250,143329832,142430070,142973591,141859783
12251,143329831,142430047,142973590,141859782
12252,143329830,142429590,142973588,141859781
12253,143329829,142429543,142973587,141859780
12254,143329828,142429300,142973586,141859779
12261,143329813,142429299,142973240,141859778
12262,143329812,142429298,142973207,141859734
12263,143329811,142429297,142973206,141859733
12264,143329691,142429296,142973205,141859715
12265,143329690,142429295,142973204,141859714
12266,143329689,142429294,142973203,141859713
12270,143329688,142429293,142973201,141859712
12271,143329687,142429292,142973200,141859711
12272,143329686,142429291,142973175,141859710
12273,143329573,142429290,142973174,141859709
12274,143329572,142429289,142973173,141859708
12278,143329570,142429288,142972986,141859707
12279,143329569,142428672,142972985,141859706
12280,143329532,142428671,142972984,141859705
12281,143329531,142428670,142972983,141859704
12282,143329530,142428669,142972982,141859703
12284,143329281,142428573,142972981,141859669
12285,143329280,142428572,142972980,141859668
12286,143329279,142428571,142972979,141859667
12287,143329278,142428570,142972974,141859666
12288,143329277,142428569,142972973,141859664
12289,143329276,142428568,142972972,141859329
12290,143329275,142428566,142972971,141859328
12291,143329254,142428565,142972970,141859264
12292,143329253,142428564,142972969,141859263
12293,143329194,142428562,142972968,141859262
12294,143328866,142428561,142972967,141859261
12295,143328856,142428560,142972966,141859260
12296,143328855,142428523,142972965,141859259
12297,143328854,142428522,142972964,141859133
12298,143328850,142428521,142972663,141859132
12300,143328849,142428466,142972654,141858482
12301,143328844,142428465,142972653,141858399
12302,143328583,142428464,142972608,141858398
12303,143328582,142428463,142972607,141858397
12304,143328581,142428415,142972606,141858393
12305,143328580,142428414,142972605,141858392
12306,143328579,142428413,142972604,141858391
12307,143328577,142428412,142972390,141858390
12309,143328576,142428379,142972389,141858355
12310,143328574,142428377,142972388,141858354
12311,143328573,142428246,142972387,141858353
12313,143328571,142428245,142972386,141858352
12314,143328570,142428244,142972375,141858351
12315,143328568,142428243,142972360,141858309
12316,143328567,142428201,142972359,141858276
12317,143328566,142428200,142972358,141858275
12319,143328565,142428199,142972353,141858274
12320,143328564,142428198,142972340,141858273
12321,143328563,142428197,142972339,141858272
12322,143328562,142428192,142972338,141858237
12323,143328561,142427277,142972192,141858235
12324,143328560,142427276,142972191,141858234
12325,143328559,142427275,142972178,141858233
12326,143328558,142426736,142972177,141858232
12327,143328557,142426734,142972016,141858231
12328,143328556,142426697,142972015,141858229
12329,143328555,142426696,142972006,141858222
12331,143328554,142426695,142972004,141858221
12332,143328545,142407268,142971968,141858110
12333,143328544,142407267,142971967,141858109
12334,143328543,142406678,142971966,141858108
12335,143328473,142406639,142914124,141858107
12336,143328472,142406638,142914123,141858106
12342,143328471,142406637,142914122,141858079
12349,143328470,142406636,142914119,141858078
12350,143328469,142406635,142914116,141857761
12351,143328468,142405610,142914115,141857760
12352,143328467,142404353,142914114,141857759
12353,143328466,142404352,142914113,141857758
12354,143328465,142403437,142914112,141857599
12355,143328464,142403436,142914111,141857598
12356,143328463,142403435,142914110,141857597
12357,143328462,142403434,142914109,141857596
12358,143328461,142403433,142914108,141857589
12359,143328460,142403244,142914107,141857548
12363,143328459,142403243,142914106,141857547
12364,143328458,142403242,142914105,141857546
12365,143328408,142402083,142914103,141857545
12366,143328407,142402082,142914102,141857544
12367,143328406,142402081,142914101,141857543
12368,143328378,142402080,142914100,141857541
12370,143328377,142402079,142914097,141857540
12371,143328376,142402077,142914096,141857539
12372,143328375,142402076,142914095,141857538
12373,143328294,142402075,142914094,141826972
12374,143328293,142402074,142914089,141826971
12375,143328292,142402073,142914088,141826970
12376,143328291,142402072,142914087,141826969
12377,143328290,142402069,142914086,141826968
12378,143328289,142402068,142914085,141826967
12379,143328288,142402066,142914084,141826966
12381,143328287,142402065,142914083,141826965
12382,143328286,142402064,142914082,141826964
12383,143328285,142402063,142914081,141826963
12384,143328247,142402062,142914080,141826928
12385,143328246,142402061,142914079,141826927
12386,143328245,142402060,142914078,141826922
12387,143328244,142402059,142914077,141826890
12388,143328243,142402058,142914076,141826889
12390,143328242,142402057,142914075,141826840
12392,143328241,142402056,142914074,141826839
12393,143328240,142402055,142914073,141826617
12394,143328239,142402054,142914072,141826616
12395,143328166,142402053,142914071,141826614
12396,143328165,142402052,142914070,141826613
12397,143328164,142402051,142914069,141826612
12398,143328163,142402050,142914068,141826611
12399,143328162,142402049,142914067,141826609
12400,143328161,142402048,142914066,141826608
12401,143328147,142402047,142914065,141826607
12402,143328146,142402046,142914063,141826606
12403,143328145,142402045,142914062,141826603
12404,143328062,142402044,142914061,141826602
12406,143328061,142402042,142914059,141826370
12407,143328060,142402041,142914058,141826369
12408,143328059,142402040,142914057,141826367
12411,143328058,142402039,142914024,141826365
12412,143328057,142402038,142913999,141826364
12413,143328056,142402037,142913998,141826363
12414,143327979,142402036,142913997,141826362
12415,143327977,142402035,142913923,141826361
12417,143327976,142402034,142913922,141826360
12418,143327975,142401898,142913865,141826359
12419,143327974,142401897,142913864,141826358
12420,143327964,142401896,142913863,141826357
12421,143327963,142401895,142913862,141826356
12422,143327944,142401894,142913861,141826355
12423,143327943,142401893,142913860,141826354
12425,143327905,142401886,142913858,141826353
12426,143327904,142401885,142913857,141826352
12427,143327903,142401810,142913148,141826351
12428,143327902,142400001,142913147,141826350
12429,143327901,142399962,142913146,141826349
12433,143327900,142399932,142913145,141826348
12434,143327899,142399931,142913136,141826347
12435,143327898,142399930,142913135,141826346
12436,143327897,142399415,142913084,141826345
12437,143327847,142399412,142913082,141826344
12438,143327846,142399411,142913081,141826343
12440,143327845,142399409,142913080,141826341
12441,143327844,142399406,142913077,141826340
12442,143327843,142399405,142912970,141826338
12443,143327842,142399404,142912969,141826205
12444,143327781,142399403,142912968,141826204
12446,143327780,142399402,142912967,141826202
12450,143327779,142399398,142912966,141826200
12451,143327778,142399396,142912965,141826199
12452,143327777,142397832,142912963,141826198
12453,143327726,142397831,142912961,141826197
12454,143327725,142397830,142912960,141826196
12456,143327724,142397829,142912932,141826195
12457,143327723,142397828,142912930,141826194
12458,143327709,142397827,142912922,141826193
12459,143327708,142397826,142912880,141826192
12467,143327603,142397825,142912879,141826191
12468,143327602,142397824,142912878,141826190
12469,143327601,142397823,142912877,141826189
12475,143327600,142397822,142912876,141826188
12476,143327599,142397807,142912875,141826187
12477,143327598,142397806,142912874,141826186
12478,143327597,142397797,142912873,141826185
12479,143327596,142397796,142912864,141826184
12480,143327595,142395273,142912825,141826183
12481,143327594,142395272,142912824,141826182
12482,143327593,142393718,142912823,141826181
12483,143327592,142393717,142912822,141826180
12484,143327591,142393714,142912821,141826179
12485,143327590,142393713,142912820,141826178
12486,143327589,142393662,142912819,141826176
12487,143327588,142393661,142912798,141826175
12488,143327587,142393646,142912797,141826173
12489,143327586,142393438,142912796,141825712
12491,143327585,142393437,142912795,141825711
12492,143327584,142393436,142912794,141825710
12493,143327583,142393435,142912758,141825709
12494,143327582,142393341,142912757,141825703
12495,143327581,142393340,142912756,141825702
12496,143327580,142393339,142912755,141825701
12497,143327579,142393150,142912754,141825700
12498,143327578,142393149,142912753,141825699
12499,143327461,142393148,142912752,141825698
12501,143327460,142393147,142912611,141825697
12502,143327459,142393146,142912610,141825696
12503,143327458,142393145,142912608,141825695
12504,143327457,142393144,142912607,141825682
12505,143327456,142393143,142912605,141825681
12506,143327454,142393142,142912604,141825680
12507,143327452,142393141,142912603,141825637
12508,143327451,142393140,142912601,141825636
12509,143327450,142393139,142912600,141825635
12510,143327242,142393138,142912599,141825634
12511,143327241,142393137,142912598,141825633
12512,143326908,142393136,142912597,141825632
12513,143326907,142393135,142912596,141825631
12514,143326720,142393134,142912594,141825618
12515,143326719,142393133,142912528,141825617
12516,143326718,142393132,142912527,141821447
12517,143326717,142393131,142912522,141821446
12518,143326660,142393130,142912497,141821445
12519,143326659,142393129,142912496,141821444
12520,143326658,142393128,142912495,141821443
12521,143326657,142393127,142912430,141821442
12522,143326656,142393126,142912429,141821441
12523,143326645,142393125,142912427,141821431
12524,143326644,142393124,142912426,141821430
12525,143326607,142393123,142912425,141821332
12527,143326606,142393122,142912424,141821331
12528,143326605,142393121,142912423,141821330
12529,143326604,142393120,142912422,141821329
12530,143326603,142393119,142912421,141821328
12531,143326535,142393118,142912420,141821327
12535,143326534,142393117,142912419,141821326
12536,143326533,142393116,142912418,141821325
12537,143326532,142393115,142912417,141821324
12538,143326344,142393114,142912416,141821323
12539,143326218,142393113,142912407,141821322
12540,143326217,142393112,142912402,141821321
12541,143326216,142393111,142912365,141821320
12542,143326215,142393109,142912364,141821319
12543,143316641,142393108,142912363,141821318
12544,143316640,142393105,142912362,141821317
12545,143316639,142393104,142912361,141821316
12546,143316606,142393103,142912360,141821058
12547,143316605,142393102,142912195,141821057
12548,143316604,142393101,142912194,141821056
12549,143316603,142393100,142912193,141821055
12550,143316602,142393099,142912192,141821054
12551,143316601,142393098,142912172,141821053
12552,143316600,142393097,142912171,141821052
12553,143316599,142393096,142911907,141821051
12554,143316467,142393095,142911906,141821050
12556,143316466,142393094,142911905,141821049
12557,143316465,142393093,142911904,141821048
12558,143316464,142393092,142911903,141821047
12559,143316183,142393091,142911902,141821046
12560,143316182,142393090,142911901,141821045
12561,143316177,142393089,142911900,141821044
12563,143316129,142393088,142911899,141821043
12564,143316128,142393087,142911898,141821042
12565,143316082,142393086,142911897,141821017
12566,143316075,142393085,142911896,141821016
12567,143316074,142393083,142911895,141821015
12568,143316073,142393082,142911894,141820795
12569,143316070,142393081,142911893,141820617
12570,143316059,142393080,142911892,141818458
12571,143316050,142393079,142911891,141818457
12572,143316041,142393077,142911890,141818407
12573,143316040,142393076,142911889,141818382
12574,143316039,142393074,142911888,141818381
12575,143316038,142393073,142911887,141818380
12576,143316006,142393072,142911886,141818379
12577,143315992,142393070,142911885,141818348
12578,143315991,142393069,142911884,141818347
12580,143315990,142393068,142911883,141818314
12581,143315643,142393067,142911882,141818313
12582,143315642,142393066,142911881,141818280
12583,143315641,142393065,142911880,141818279
12584,143315640,142393064,142911838,141817920
12586,143315639,142393063,142911837,141817761
12587,143315638,142393062,142911836,141817717
12588,143315566,142393061,142911835,141817716
12589,143315565,142393060,142911813,141797564
12590,143315564,142393059,142911650,141797563
12591,143315249,142393058,142911587,141797562
12592,143315248,142393057,142911586,141797289
12593,143315247,142393056,142911584,141797020
12594,143315246,142393054,142911583,141797019
12595,143315245,142393053,142911582,141797018
12597,143315244,142393052,142911573,141797017
12598,143315243,142393030,142911563,141797015
12599,143315242,142393029,142911502,141797002
12600,143315241,142393028,142911489,141796228
12601,143315240,142393023,142911456,141796227
12602,143315233,142393017,142911235,141796226
12603,143315232,142392988,142911234,141796225
12604,143315231,142392987,142911233,141796224
12606,143315230,142392986,142911232,141796223
12607,143315229,142392985,142911231,141796222
12608,143315212,142392984,142911230,141796221
12609,143315211,142392983,142911229,141796220
12610,143315163,142392982,142911228,141796111
12611,143315162,142392944,142911227,141796110
12612,143315161,142392941,142911154,141796109
12613,143315160,142392940,142911153,141796108
12614,143315159,142392842,142911152,141796107
12615,143315158,142353290,142911151,141796106
12618,143315157,142353289,142911150,141796105
12619,143314637,142353288,142911149,141796104
12620,143314636,142353287,142911148,141796103
12621,143314635,142353286,142911147,141796102
12622,143314634,142353285,142911146,141796101
12623,143314633,142353284,142911145,141796100
12624,143314024,142353283,142911144,141796091
12625,143313814,142353282,142911143,141796090
12626,143313813,142353281,142911142,141796089
12627,143313812,142353050,142911105,141796088
12628,143313811,142353047,142911104,141796048
12629,143313810,142353040,142911103,141796047
12630,143313809,142353029,142911102,141795757
12631,143313808,142352755,142911101,141795756
12632,143313807,142352733,142911100,141795755
12633,143313806,142352732,142911099,141795754
12634,143313805,142352594,142911098,141795676
12638,143313804,142352593,142911097,141795675
12639,143313803,142352592,142911064,141795674
12640,143313760,142352591,142911063,141795673
12641,143313759,142352590,142911062,141795672
12642,143313758,142352589,142911061,141795671
12643,143313757,142352415,142910982,141795670
12644,143313611,142352414,142910981,141795669
12645,143313573,142352413,142910979,141795668
12646,143313572,142352412,142910909,141795667
12647,143313570,142352411,142910908,141795666
12648,143313426,142352410,142910907,141795665
12649,143313425,142352409,142910906,141795664
12650,143313424,142352408,142910905,141795663
12651,143313315,142352407,142910888,141795662
12652,143313276,142352406,142910887,141795661
12653,143313275,142352405,142910884,141795660
12654,143313174,142352404,142910307,141795659
12655,143313169,142352403,142910226,141795658
12656,143313111,142352401,142910225,141795654
12657,143313110,142352400,142910224,141795653
12658,143313109,142352399,142910223,141795650
12659,143313108,142352398,142910222,141795648
12660,143313107,142352397,142910221,141795647
12661,143313106,142352396,142910220,141795610
12662,143313105,142352395,142910219,141795609
12663,143312966,142352394,142910218,141795608
12664,143312959,142352392,142910217,141795578
12665,143312958,142352379,142910211,141795577
12666,143312957,142352378,142910110,141795576
12668,143312956,142352377,142910109,141795245
12669,143312924,142352376,142910103,141794827
12670,143312923,142352310,142910102,141794716
12671,143312922,142352309,142910101,141794715
12672,143312921,142352308,142892845,141794714
12673,143312920,142352307,142892844,141794713
12674,143312904,142352306,142892842,141794712
12676,143312903,142352305,142892839,141794449
12677,143302343,142352304,142892838,141794448
12678,143302342,142352247,142892837,141794275
12679,143302341,142352246,142892836,141794274
12680,143301955,142352245,142892835,141794265
12681,143301954,142352244,142892834,141794248
12683,143301953,142352243,142892833,141794247
12684,143301952,142352242,142892832,141794244
12685,143301951,142352241,142892831,141794243
12686,143301950,142352208,142892830,141794202
12687,143301949,142352203,142892829,141794201
12688,143301491,142352202,142892826,141794200
12689,143301490,142352201,142892825,141794014
12690,143301489,142352108,142892824,141794013
12691,143301488,142352008,142892799,141794008
12692,143301487,142352007,142892798,141794007
12693,143301311,142352006,142892797,141793992
12694,143301310,142352005,142892796,141793785
12695,143301172,142352004,142892795,141793444
12696,143301171,142352003,142892794,141793438
12698,143301170,142352002,142888683,141793127
12699,143301169,142352001,142888674,141793090
12700,143301168,142352000,142888649,141793089
12701,143301167,142351999,142888648,141793088
12703,143301166,142351998,142888647,141793087
12704,143301165,142351997,142888646,141793072
12705,143301164,142351996,142888625,141793071
12706,143301163,142351995,142888624,141793016
12707,143301162,142351994,142888623,141793015
12708,143301161,142351798,142888622,141793014
12709,143301160,142351796,142888621,141793013
12710,143300913,142351794,142888596,141793012
12711,143300912,142351793,142888595,141793011
12712,143300911,142351792,142888594,141793010
12713,143300910,142351791,142888576,141792993
12714,143300909,142351790,142888575,141792992
12715,143299838,142351789,142887921,141792991
12716,143299837,142351788,142887840,141792990
12717,143296527,142351787,142887839,141792989
12718,143296526,142351786,142887838,141792988
12719,143296525,142351783,142887837,141792987
12720,143296524,142351782,142887836,141738366
12721,143296498,142351781,142887835,141738365
12722,143296497,142351780,142887834,141738332
12723,143296496,142351611,142887833,141738331
12724,143296312,142351610,142887831,141738329
12725,143296307,142351609,142887830,141738192
12726,143296295,142351608,142887829,141738101
12727,143296247,142351607,142887828,141738100
12728,143296221,142351606,142883836,141738099
12729,143296220,142351605,142883835,141738098
12731,143296218,142351535,142883834,141738097
12732,143296217,142351534,142883832,141737904
12733,143296085,142351533,142883831,141737903
12734,143295826,142351484,142883829,141737902
12738,143295825,142351483,142883827,141737901
12739,143295824,142351482,142883825,141737900
12740,143295823,142351481,142883823,141737899
12741,143295822,142351480,142883822,141737898
12742,143293833,142351479,142883821,141737897
12743,143293597,142351478,142883820,141737896
12744,143293596,142351477,142883819,141737895
12745,143263423,142351476,142883817,141737894
12746,143263422,142351475,142883816,141737893
12747,143263421,142351474,142883688,141737892
12748,143263420,142351473,142883687,141737891
12749,143263419,142351423,142883629,141737890
12751,143262728,142351422,142883628,141737889
12752,143262727,142351421,142883627,141737888
12753,143262726,142351420,142883523,141737887
12754,143262721,142351419,142883522,141737886
12755,143262714,142351258,142883521,141737885
12756,143262707,142351257,142883518,141737884
12758,143262561,142351193,142883516,141737883
12759,143262558,142351192,142883256,141737882
12760,143262557,142351191,142883239,141737881
12761,143262521,142351155,142883238,141737880
12762,143262520,142351154,142883237,141737878
12764,143262519,142351153,142883234,141737877
12765,143262518,142351152,142883232,141737876
12766,143262517,142351151,142883227,141737875
12767,143262475,142351150,142883226,141737874
12768,143262474,142351149,142883225,141737873
12769,143262457,142351132,142883224,141737189
12770,143262456,142351112,142883219,141737188
12771,143262022,142351111,142883156,141737187
12772,143262021,142351110,142883155,141737186
12773,143262020,142350994,142883154,141737185
12774,143262019,142350993,142883153,141737184
12775,143262018,142350992,142882985,141737182
12777,143262017,142350950,142882984,141736558
12778,143262016,142350949,142882983,141736557
12779,143262015,142350948,142882982,141735799
12780,143262014,142350947,142882981,141735798
12781,143262013,142350946,142882980,141735797
12782,143262012,142350944,142882979,141735796
12783,143262011,142350943,142882978,141735795
12784,143262010,142350942,142880258,141735794
12786,143262009,142350941,142880257,141735793
12787,143262008,142350859,142880256,141735792
12788,143262007,142350858,142880255,141735791
12790,143262006,142350857,142880254,141735790
12791,143262005,142350856,142880253,141735789
12792,143262004,142350855,142880252,141735788
12793,143262003,142350829,142880251,141735787
12794,143262002,142350828,142880250,141735786
12795,143262001,142350827,142880249,141735785
12796,143261987,142350826,142880248,141735784
