Group no,Item_Number_1,Item_Number_2,Item_Number_3,Item_Number_4
12887,143260108,142328899,142844904,141733377
12888,143259990,142328898,142844885,141733376
12889,143259976,142328897,142844884,141733375
12890,143259975,142328896,142844883,141733374
12891,143259840,142328895,142844828,141733373
12892,143259839,142328894,142844827,141733372
12893,143259838,142328014,142844177,141733371
12894,143259837,142328013,142844176,141733370
12895,143259836,142326333,142844175,141733369
12896,143259835,142326332,142844174,141733368
12897,143259834,142326331,142844173,141733365
12898,143259833,142326330,142844130,141733364
12899,143259832,142326329,142844129,141733146
12900,143259831,142326328,142844128,141733145
12901,143259830,142326246,142844127,141733144
12902,143259806,142326245,142844126,141733143
12903,143256823,142326244,142844125,141733142
12904,143256822,142326243,142844124,141733141
12905,143256821,142326242,142844123,141733114
12906,143256820,142326241,142844122,141733106
12907,143256819,142326240,142844121,141733105
12908,143246240,142326239,142844115,141733104
12909,143246239,142326151,142844114,141733103
12910,143246238,142326150,142843826,141733102
12911,143246237,142326149,142843775,141733101
12912,143246236,142326148,142843774,141733100
12914,143246235,142326147,142843773,141733099
12915,143246222,142326146,142843772,141733098
12917,143246221,142326145,142843771,141733097
12918,143246220,142326144,142843770,141733096
12919,143245780,142326143,142843769,141733095
12920,143245777,142326142,142843731,141733094
12921,143245776,142326055,142843730,141733093
12922,143245746,142326054,142843729,141733092
12923,143245745,142326053,142843728,141733091
12924,143245744,142326052,142843727,141733057
12926,143245673,142326051,142843726,141733056
12927,143245672,142326050,142843725,141733055
12928,143245671,142326049,142843707,141733054
12929,143245670,142326048,142843706,141733053
12930,143245669,142326047,142843670,141733052
12931,143245668,142326009,142843669,141733051
12932,143245667,142325890,142843668,141733050
12933,143245666,142325889,142843442,141733047
12934,143245665,142325888,142843441,141733046
12935,143245664,142325887,142843440,141733014
12936,143245663,142325886,142843439,141733013
12937,143245662,142325885,142843438,141733012
12938,143245661,142325884,142843437,141733011
12939,143245660,142325883,142843436,141733010
12940,143245659,142325882,142843434,141732931
12942,143245658,142325881,142843342,141732930
12943,143245571,142325880,142843341,141732929
12944,143245570,142325879,142843340,141732928
12945,143245569,142325878,142843339,141732906
12946,143245568,142325588,142843338,141732705
12948,143245567,142325520,142843337,141732703
12949,143245566,142325519,142843336,141732480
12950,143245565,142325518,142843335,141732479
12951,143245564,142325517,142843334,141732385
12952,143245563,142325516,142843333,141732284
12953,143245562,142325515,142843332,141732257
12954,143245560,142325514,142843331,141732252
12955,143245559,142325513,142843330,141732205
12956,143245558,142325434,142843329,141732204
12957,143244999,142325433,142843328,141732203
12958,143244998,142325432,142843326,141732202
12959,143244997,142325396,142843325,141732201
12960,143244996,142325395,142843324,141732200
12961,143244995,142325394,142843323,141732199
12962,143244994,142325393,142843322,141731933
12963,143244993,142325392,142843133,141731607
12964,143244992,142325391,142843132,141731606
12965,143244991,142325388,142843131,141731605
12966,143244990,142325322,142843130,141731604
12967,143244989,142325321,142843129,141731600
12968,143244988,142325320,142843128,141731598
12969,143244986,142325319,142843126,141731589
12970,143244985,142325318,142843124,141731584
12971,143244984,142325317,142843123,141731505
12972,143244983,142325316,142843122,141731431
12973,143244873,142325315,142843121,141731331
12974,143244872,142325063,142843120,141730948
12975,143244871,142325062,142843119,141730947
12976,143244870,142324906,142843118,141730946
12977,143244867,142324905,142843116,141730945
12978,143244866,142324902,142843115,141730944
12979,143244865,142324901,142843114,141730943
12980,143244864,142324900,142843074,141730942
12981,143244863,142324898,142843073,141730941
12982,143244862,142324897,142843072,141730940
12985,143244861,142324896,142843070,141730939
12986,143244860,142324895,142843020,141730938
12987,143244851,142324894,142843019,141730937
12988,143244850,142324464,142843018,141730936
12989,143244849,142324463,142843017,141730935
12990,143244848,142324423,142843016,141730934
12991,143244847,142324422,142843015,141730933
12992,143244846,142324303,142843000,141730932
12993,143244845,142324278,142842955,141730931
12994,143241969,142324277,142842953,141730930
12995,143241968,142324136,142842952,141730929
12996,143241967,142324135,142842951,141730928
12997,143241966,142324134,142842919,141730927
12998,143241925,142324133,142842918,141730926
12999,143241924,142324131,142842917,141730925
13000,143241923,142324130,142842623,141730924
13001,143241922,142324129,142842622,141730923
13002,143241921,142324128,142842621,141730922
13004,143241920,142324127,142841763,141730921
13005,143241919,142324126,142841750,141730920
13006,143241918,142324125,142841749,141730919
13007,143241847,142324124,142841748,141730918
13008,143241846,142324123,142841728,141730917
13009,143241845,142324122,142824337,141730916
13010,143241844,142324121,142824266,141730915
13013,143241760,142324118,142824265,141730914
13014,143241759,142324117,142824264,141730754
13015,143241757,142323923,142824263,141730747
13019,143241717,142323756,142824262,141730669
13022,143241716,142323589,142824258,141730668
13024,143241715,142323588,142824165,141730667
13025,143241690,142323587,142824162,141730617
13026,143241689,142323586,142824161,141730616
13028,143241688,142323585,142824160,141727284
13029,143241687,142323584,142824159,141727283
13031,143241686,142323583,142824048,141727282
13032,143241685,142323582,142824047,141727281
13033,143241684,142323581,142824046,141726401
13034,143241594,142323497,142824045,141726399
13036,143241554,142323496,142824044,141726398
13041,143241553,142323495,142823946,141726397
13043,143241551,142323494,142823945,141726396
13045,143241550,142323493,142823944,141726389
13046,143241549,142323492,142823943,141726306
13048,143241548,142323491,142823857,141708689
13049,143241517,142323490,142823856,141708688
13050,143241489,142323489,142823855,141708502
13052,143241488,142323488,142823854,141708501
13053,143241487,142323402,142823851,141708500
13054,143241486,142323401,142823850,141708499
13055,143241280,142323400,142823849,141708498
13056,143241260,142323399,142823848,141708496
13057,143241259,142323398,142823847,141708495
13058,143241258,142323397,142823846,141708494
13059,143241257,142323396,142823845,141708493
13060,143241256,142323395,142823844,141708492
13061,143241255,142323394,142823843,141708482
13062,143241254,142323393,142823842,141708433
13063,143241253,142323342,142823841,141708432
13064,143241252,142323341,142823840,141708431
13065,143241104,142323340,142823839,141708430
13066,143241103,142323339,142823838,141708429
13067,143241095,142323338,142823762,141708428
13068,143241026,142323337,142823761,141706193
13069,143241025,142323336,142823685,141706192
13070,143241024,142323335,142823684,141706191
13071,143241023,142323304,142823683,141706190
13072,143241022,142323303,142823682,141706189
13073,143241021,142323302,142823681,141706188
13074,143241020,142323301,142823680,141706171
13075,143241019,142323300,142823676,141706137
13076,143241018,142323097,142823675,141706052
13077,143241017,142321735,142823674,141706051
13078,143241016,142297049,142823673,141706049
13079,143241015,142297048,142823672,141706048
13080,143241014,142297047,142823671,141706046
13081,143241013,142296890,142823652,141706045
13082,143241012,142296889,142823651,141706042
13083,143241011,142296887,142823549,141706041
13084,143241010,142296886,142823548,141706038
13085,143240952,142296885,142823547,141706035
13086,143240951,142296884,142823546,141705707
13087,143240950,142296881,142823472,141705706
13088,143240949,142296880,142823471,141705705
13089,143240948,142296879,142823470,141705701
13090,143240947,142296467,142823469,141705700
13091,143240926,142296466,142823468,141705699
13092,143240925,142296465,142823467,141705698
13093,143240924,142296464,142823466,141705575
13094,143240923,142296463,142823465,141705290
13095,143240922,142296462,142823464,141705289
13096,143240903,142296461,142823040,141705287
13097,143240863,142296460,142823039,141705285
13098,143240723,142296459,142823037,141705282
13099,143240721,142296458,142823036,141705280
13101,143240706,142296457,142823035,141705278
13102,143240699,142296456,142822455,141705274
13103,143240650,142296362,142822454,141705272
13104,143240649,142296361,142822453,141705259
13105,143240648,142296360,142822452,141705255
13106,143240647,142296359,142822083,141705253
13107,143240646,142296358,142822082,141705249
13108,143240645,142296357,142822081,141705248
13109,143240315,142296065,142822080,141705247
13110,143240291,142296064,142821881,141705246
13111,143240275,142296063,142821880,141705245
13112,143240274,142296062,142821879,141705244
13113,143240260,142296061,142821686,141705137
13114,143240259,142296060,142821082,141705135
13115,143240258,142296059,142821004,141705080
13116,143240235,142296058,142820627,141705079
13118,143240069,142296057,142820626,141705078
13119,143240068,142296013,142820625,141705077
13120,143240067,142296012,142820624,141705076
13121,143240066,142296011,142820623,141705075
13122,143240041,142296010,142820622,141705074
13123,143240040,142296009,142808277,141705073
13125,143240039,142296008,142808276,141705072
13127,143240037,142296006,142808275,141705071
13128,143240036,142295898,142808274,141705070
13129,143218179,142295897,142808205,141705069
13130,143218178,142295896,142808204,141705002
13131,143218177,142295544,142808153,141705001
13132,143218176,142295543,142808152,141705000
13133,143218175,142295542,142808151,141704999
13134,143218174,142295541,142808080,141704998
13135,143218173,142295540,142808079,141704988
13136,143218172,142295539,142807816,141704975
13137,143218171,142295538,142807815,141704974
13138,143218170,142295537,142807814,141704973
13139,143218168,142295536,142807813,141704093
13140,143218052,142295533,142807812,141704059
13141,143217929,142295254,142807811,141704057
13142,143217928,142294971,142807810,141704019
13143,143217927,142294862,142807809,141703785
13144,143217926,142294853,142807808,141703784
13145,143217925,142294823,142807807,141703783
13146,143217924,142294670,142807806,141703763
13147,143217923,142294496,142807805,141703666
13148,143217922,142294495,142807804,141703665
13149,143217921,142294330,142807803,141703664
13151,143217920,142294329,142807802,141703663
13152,143217919,142294328,142807801,141703548
13153,143217918,142294327,142807800,141703404
13155,143217915,142294326,142807799,141703402
13156,143217883,142294325,142807798,141703274
13157,143217801,142294236,142807797,141703273
13158,143217799,142293496,142807796,141703272
13159,143217798,142293469,142807795,141703271
13160,143217797,142293466,142807794,141703270
13161,143217796,142293196,142807374,141703261
13162,143217794,142293195,142807373,141703164
13163,143217793,142293194,142807372,141703163
13164,143217792,142292799,142807371,141702885
13165,143217791,142292798,142807370,141702877
13166,143217790,142292797,142807354,141702832
13167,143217789,142292796,142807347,141702831
13168,143217788,142287907,142807280,141702830
13169,143217787,142287906,142807279,141702829
13170,143217786,142287905,142807145,141702828
13171,143217785,142287904,142807144,141667050
13172,143217783,142287903,142805372,141667041
13173,143217782,142287902,142805371,141667038
13174,143217781,142287901,142805370,141667037
13175,143217750,142287900,142805369,141667005
13176,143217749,142287797,142805368,141667004
13177,143217748,142287796,142805367,141667003
13178,143217747,142287795,142804994,141667002
13179,143217746,142287794,142804993,141667001
13180,143217745,142285469,142804992,141667000
13181,143217716,142285468,142804991,141666972
13182,143217676,142285467,142804990,141666971
13183,143217675,142285447,142804989,141666966
13184,143217674,142285446,142804988,141666580
13185,143217673,142285445,142804979,141666579
13186,143217672,142284354,142804718,141666578
13187,143217671,142284353,142804649,141666577
13188,143217670,142284352,142804648,141666575
13189,143217624,142284351,142804647,141666573
13190,143217623,142284350,142803685,141666572
13191,143217622,142284349,142803684,141666570
13192,143217621,142284348,142803683,141666569
13193,143217620,142284347,142803682,141666566
13194,143217619,142284346,142803681,141666565
13195,143217618,142284345,142803680,141666564
13196,143217557,142284344,142803679,141666563
13197,143217556,142284343,142803678,141666562
13198,143217555,142284342,142803677,141666561
13199,143217554,142206278,142803676,141666560
13200,143217483,142206276,142803675,141666559
13202,143217482,142206275,142803509,141666557
13203,143217481,142206269,142803508,141666556
13204,143217480,142205871,142803507,141666513
13205,143217479,142205870,142803506,141666512
13207,143217478,142205869,142803505,141666511
13208,143217477,142205868,142803504,141666510
13209,143217476,142205867,142803503,141666449
13210,143217475,142205866,142803501,141666448
13211,143217474,142205865,142803492,141666447
13212,143217464,142205864,142803390,141666446
13213,143217411,142205863,142803388,141666445
13214,143217407,142205862,142803386,141666057
13215,143217405,142205861,142803385,141666056
13216,143217404,142205860,142803384,141666055
13217,143217403,142205859,142803383,141666054
13218,143217402,142205858,142803382,141666053
13219,143217401,142205857,142803252,141666052
13220,143217400,142205856,142803251,141666051
13221,143217382,142205855,142803249,141665855
13222,143217381,142205854,142803247,141665286
13223,143217380,142205853,142803246,141665285
13224,143217379,142205852,142803245,141665284
13225,143217354,142205851,142803045,141665279
13226,143217353,142205849,142803044,141665253
13228,143217352,142205846,142803022,141665252
13230,143217351,142205845,142803021,141665249
13231,143217294,142205844,142803020,141665248
13232,143217293,142205842,142803016,141665247
13233,143217292,142205841,142803015,141665209
13234,143217291,142205840,142802961,141665208
13235,143217290,142205838,142802960,141665207
13236,143217289,142205837,142802959,141665206
13237,143217288,142205836,142802958,141665205
13238,143217256,142205835,142742975,141665182
13239,143217255,142205832,142742974,141665181
13240,143217254,142205781,142742973,141664170
13241,143217163,142205780,142742972,141664169
13242,143217162,142205778,142742971,141664168
13243,143217161,142205777,142742970,141664167
13244,143217160,142205776,142742542,141664166
13245,143217159,142205772,142742541,141664165
13246,143217158,142205771,142742489,141664139
13247,143217157,142205770,142742488,141664138
13248,143217106,142205769,142742487,141664137
13249,143216935,142205742,142742486,141664136
13250,143216934,142205741,142742379,141664102
13251,143216933,142205636,142742378,141664101
13252,143216932,142205593,142742377,141664100
13253,143216931,142205592,142742376,141664099
13254,143216930,142205591,142742375,141664098
13255,143216929,142205590,142742374,141664097
13256,143216928,142205547,142742373,141664096
13257,143216927,142205546,142742370,141664091
13258,143216926,142205545,142742369,141663858
13259,143216925,142205276,142742340,141663628
13260,143216924,142205274,142742329,141663627
13261,143216923,142205271,142742175,141663546
13262,143216922,142205270,142742174,141663545
13263,143216921,142205268,142742172,141663544
13264,143216920,142205223,142742171,141663543
13265,143216919,142205222,142741922,141663542
13266,143216918,142205221,142741919,141663541
13267,143216408,142205220,142741918,141663540
13268,143216407,142205219,142741917,141663511
13269,143216389,142205218,142741916,141663510
13270,143216388,142204349,142741915,141663435
13271,143216387,142204348,142741914,141663434
13272,143216114,142204347,142741910,141663351
13273,143216113,142204230,142741775,141663307
13275,143216112,142204229,142741773,141663306
13276,143216111,142204228,142741771,141663132
13277,143216110,142203378,142741769,141663131
13278,143216109,142203377,142741762,141663130
13279,143216108,142203288,142741728,141663129
13280,143216107,142203287,142741626,141663128
13281,143216106,142203286,142741625,141663127
13282,143216105,142203285,142741624,141663126
13283,143216104,142203284,142741623,141663125
13284,143216103,142203283,142741622,141663124
13285,143216102,142203282,142741621,141663123
13286,143216101,142203281,142741620,141663122
13288,143216100,142203280,142741619,141663121
13289,143216099,142203279,142741459,141663120
13290,143216098,142203278,142741458,141663119
13291,143216095,142203058,142741400,141663118
13292,143216072,142202985,142741399,141663117
13293,143216071,142202983,142741398,141663116
13295,143216070,142202982,142741397,141663115
13296,143216069,142202874,142741396,141663114
13297,143216068,142202873,142741395,141663113
13298,143216036,142202872,142741386,141663112
13299,143215898,142202810,142741385,141663111
13300,143215897,142202808,142740491,141662471
13301,143215863,142202368,142740490,141662469
13302,143215862,142202367,142740489,141662468
13305,143215849,142202366,142740487,141662455
13307,143215848,142202365,142740486,141662454
13308,143215847,142202364,142740485,141662207
13309,143215822,142202363,142740020,141642539
13312,143215821,142202362,142740019,141642537
13313,143215820,142202361,142740010,141642536
13314,143215819,142202360,142740009,141642535
13315,143215788,142202359,142739932,141642534
13316,143215787,142202358,142739931,141642533
13317,143215786,142202357,142739930,141642532
13318,143215785,142202356,142739929,141642531
13319,143215784,142202355,142739928,141642530
13321,143215783,142202354,142739927,141642526
13359,143215782,142202353,142739926,141642525
13360,143215781,142202352,142739925,141642132
13361,143215780,142202343,142739924,141641940
13362,143215779,142202326,142739923,141641939
13364,143215778,142202325,142739922,141641937
13365,143215771,142202292,142739921,141641935
13366,143215438,142202273,142739715,141641932
13367,143215437,142202272,142739714,141641930
13368,143215436,142202085,142739713,141641928
13369,143215435,142202084,142739712,141641926
13370,143215434,142202083,142739711,141641924
13371,143215433,142202082,142739710,141641923
13372,143215239,142202081,142739709,141641922
13373,143215238,142202080,142739708,141641917
13374,143215237,142202079,142739707,141641915
13375,143215236,142202078,142739706,141641914
13376,143215235,142202077,142739705,141641912
13377,143215234,142202076,142739704,141641911
13378,143215233,142202075,142739663,141641909
13379,143215232,142202074,142739662,141641908
13380,143215231,142202073,142739661,141641907
13381,143215230,142202072,142739660,141641905
13382,143215229,142202071,142739242,141641903
13383,143215228,142202070,142739241,141641899
13385,143215227,142202069,142739240,141641898
13386,143215226,142202068,142739239,141641897
13387,143215225,142202067,142739238,141641896
13388,143215224,142202066,142739237,141641895
13389,143215223,142202065,142739236,141641894
13390,143215222,142202064,142739235,141641875
13391,143215221,142202063,142739234,141641874
13392,143215220,142202062,142739233,141641869
13393,143215219,142202061,142739232,141641527
13394,143215218,142202060,142739231,141641526
13396,143215217,142202059,142739230,141641525
13397,143215216,142202058,142739229,141641524
13398,143215215,142202057,142739228,141641523
13399,143215189,142202056,142739227,141641522
13401,143215188,142202055,142739123,141641521
13402,143215187,142202054,142739122,141641520
13403,143215186,142202053,142739121,141641519
13404,143215185,142202052,142739120,141641518
13405,143215184,142202015,142738995,141641516
13406,143214894,142202014,142738692,141641515
13407,143214893,142201775,142738691,141641485
13408,143214892,142201734,142738690,141641449
13409,143214891,142201718,142738689,141641447
13410,143214890,142201717,142738688,141641446
13411,143214889,142201700,142738687,141641142
13412,143214888,142201699,142738686,141641141
13413,143214887,142201698,142738685,141641140
13415,143214886,142201687,142738684,141641139
13416,143214885,142201623,142738683,141641138
13417,143214884,142201622,142738682,141641137
13419,143214883,142201621,142738681,141641128
13420,143214882,142201620,142738680,141640975
13422,143214881,142201619,142738679,141640974
13423,143214880,142201618,142738629,141640973
13424,143214879,142201617,142738628,141640972
13425,143214878,142201616,142738627,141640971
13426,143214877,142201615,142738512,141640970
13427,143214876,142201610,142738511,141640969
13428,143214875,142201289,142738510,141640968
13429,143214874,142201279,142738461,141640967
13430,143214873,142201265,142738460,141640966
13431,143214872,142201184,142738459,141640965
13432,143214871,142201183,142738458,141640964
13433,143214870,142201182,142738457,141640963
13434,143214869,142201180,142738456,141640962
13435,143214868,142201179,142738455,141640961
13436,143214867,142201178,142738454,141640960
13437,143214866,142201173,142738453,141640959
13438,143214865,142201148,142738447,141640958
13439,143185684,142201147,142738174,141640957
13440,143185683,142201146,142738173,141640956
13441,143185682,142201105,142738172,141640955
13442,143185681,142201104,142738171,141640954
13443,143185188,142201102,142738170,141640953
13444,143185187,142201101,142738169,141640952
13445,143185049,142201100,142738168,141640951
13446,143185048,142201099,142738167,141640950
13447,143185047,142201098,142722310,141640949
13448,143185046,142201097,142722309,141640947
13449,143185045,142200910,142722257,141640946
13450,143185044,142200880,142722256,141640945
13451,143185043,142200846,142722255,141640944
13452,143185042,142200805,142722254,141640943
13454,143185041,142200804,142722253,141640942
13455,143185040,142200803,142722252,141640941
13456,143185033,142200802,142722251,141640940
13457,143185029,142200795,142722250,141640939
13459,143184962,142200773,142722249,141640938
13460,143184961,142200772,142722248,141640937
13461,143184960,142200771,142722100,141640936
13462,143184959,142200770,142721943,141640935
13463,143184933,142200769,142721942,141640934
13464,143184932,142200768,142721940,141640933
13465,143184931,142200745,142721938,141640932
13466,143184930,142200618,142721801,141640927
13467,143184929,142200617,142721760,141640926
13468,143184928,142200616,142721759,141640925
13469,143184895,142176004,142721745,141640924
13470,143184894,142176003,142721744,141640923
13471,143184893,142176002,142721463,141640922
13472,143184892,142176001,142721462,141640921
13473,143184891,142176000,142721377,141640920
13474,143184890,142175998,142721376,141640919
13475,143184889,142175969,142721375,141640918
13476,143184888,142175968,142721374,141640917
13477,143184887,142175966,142721373,141640916
13479,143184846,142175948,142721372,141640915
13480,143184845,142175947,142721076,141640914
13481,143184844,142175946,142721073,141640913
13482,143184843,142175933,142721072,141640912
13483,143179928,142175932,142721049,141640911
13484,143179852,142175931,142721048,141640910
13485,143179851,142175914,142721035,141640909
13487,143179811,142175913,142720993,141640908
13488,143179809,142175912,142720992,141640907
13489,143179808,142175891,142720823,141640885
13490,143179807,142175890,142720513,141640884
13491,143176132,142175889,142720512,141640852
13492,143176131,142175825,142720511,141640763
13493,143176129,142175824,142720510,141640762
13494,143176116,142175823,142720509,141640761
13496,143176115,142175822,142720508,141640760
13497,143175802,142175821,142720507,141640759
13498,143175801,142175820,142720506,141640758
13499,143175800,142175631,142720505,141640757
13500,143175799,142175628,142720504,141640754
13501,143175774,142175627,142720503,141640753
13502,143175773,142175626,142720499,141640752
13503,143175745,142175624,142720498,141640751
13504,143175744,142175620,142720228,141640750
13505,143175743,142175618,142720227,141640749
13506,143175742,142175617,142720226,141640746
13507,143175741,142171590,142720225,141640745
13508,143175736,142171589,142720224,141640744
13509,143175735,142171588,142720223,141640621
13510,143175734,142171551,142720222,141640620
13511,143175733,142171549,142720213,141640619
13512,143175732,142171548,142720090,141640617
13514,143175731,142171547,142720085,141638935
13515,143175430,142171546,142720067,141638934
13516,143175406,142171545,142720046,141638933
13517,143175405,142171544,142720045,141638932
13518,143175303,142171543,142720044,141638931
13519,143175302,142171524,142720043,141638924
13520,143175301,142171522,142720042,141638923
13521,143175235,142171521,142682363,141638781
13522,143175234,142171087,142682362,141638747
13523,143175233,142171086,142682361,141638664
13525,143175232,142171085,142682356,141638647
13526,143175231,142171084,142682355,141638646
13527,143175230,142171083,142682311,141638618
13528,143175229,142171082,142682204,141638609
13529,143175228,142171034,142682202,141638608
13530,143175227,142171033,142682201,141638607
13531,143175226,142170401,142682200,141638606
13532,143175216,142170400,142682199,141638442
13533,143144916,142170399,142682198,141638440
13534,143144915,142170398,142682197,141638439
13535,143144914,142170246,142682196,141638437
13536,143144913,142170218,142682195,141638436
13537,143144912,142170217,142682194,141638434
13538,143144911,142170216,142682192,141638432
13539,143144910,142170215,142682148,141638299
13540,143144881,142170214,142682147,141638298
13541,143144878,142170213,142682146,141638297
13542,143144877,142170208,142682145,141638296
13543,143144844,142170133,142682144,141638295
13546,143144843,142170130,142682143,141638294
13551,143144840,142170128,142682142,141638293
13552,143144836,142169316,142682141,141638292
13553,143141876,142169315,142682140,141638291
13554,143141851,142169314,142682139,141638278
13555,143141850,142169313,142682138,141638277
13556,143141849,142169312,142682137,141638022
13557,143141548,142169311,142682136,141638021
13558,143141547,142169310,142682135,141638020
13559,143141546,142169309,142682134,141638019
13560,143141545,142169308,142682026,141638018
13561,143141544,142169307,142682025,141638005
13562,143141543,142169306,142682023,141637847
13563,143141542,142169305,142682022,141637665
13565,143141480,142169304,142682021,141637649
13566,143140927,142169303,142681980,141637529
13567,143140924,142169302,142681979,141637115
13568,143140841,142169301,142681978,141637114
13570,143140840,142167863,142681977,141637113
13571,143140839,142167862,142681976,141637112
13572,143140838,142167861,142681946,141637111
13573,143140837,142167465,142681945,141637110
13574,143140836,142167328,142681943,141637109
13575,143140835,142167326,142681942,141637108
13576,143140796,142167325,142681745,141637103
13577,143140795,142167324,142681744,141637060
13580,143140246,142167323,142681584,141637057
13581,143140226,142167322,142681583,141637054
13583,143140225,142167321,142681582,141636942
13584,143140126,142167320,142681581,141636941
13587,143140123,142167319,142681580,141636938
13588,143140122,142167318,142681433,141636937
13589,143140119,142167317,142681432,141636935
13590,143140009,142167316,142681431,141636934
13591,143140008,142122790,142681430,141636933
13592,143140004,142122789,142681429,141636926
13593,143140003,142122788,142681428,141636917
13594,143140002,142122787,142681427,141636912
13595,143140001,142122786,142681426,141616330
13596,143140000,142122785,142681423,141616329
13598,143139999,142122784,142681422,141616299
13599,143139997,142122346,142681268,141616298
13600,143139973,142122345,142681267,141616297
13601,143139972,142122344,142681266,141616296
13602,143139971,142122343,142681265,141615928
13603,143139970,142122342,142681264,141615927
13604,143139773,142122341,142681263,141615851
13605,143139772,142122340,142681262,141615850
13606,143139771,142122339,142681261,141615849
13607,143139770,142122338,142681258,141615848
13608,143139769,142122337,142681257,141615847
13609,143139768,142122336,142681230,141615846
13612,143139767,142122335,142681229,141615787
13613,143139766,142122334,142681228,141615786
13614,143139765,142121341,142681227,141615785
13616,143139763,142121340,142681226,141615784
13617,143139762,142121339,142681225,141615783
13618,143139761,142121338,142681224,141615782
13619,143139760,142121337,142681223,141615781
13620,143139759,142121336,142681222,141615780
13621,143139758,142121335,142681221,141615779
13622,143139757,142121334,142681220,141615778
13623,143139756,142121309,142681219,141615017
13624,143139754,142121308,142681117,141615016
13625,143139753,142121307,142681116,141614967
13626,143139752,142120572,142681115,141614958
13627,143139751,142120571,142681114,141614574
13628,143139750,142120570,142681113,141614296
13629,143139748,142120569,142681104,141614219
13630,143139747,142120568,142681103,141614218
13631,143139746,142120565,142681102,141614217
13632,143139607,142120564,142660718,141614216
13633,143139510,142120563,142660717,141614207
13634,143139509,142120562,142660716,141614018
13635,143139508,142120561,142660709,141613944
13636,143106774,142120560,142660708,141613943
13637,143106773,142120559,142659956,141613942
13638,143084897,142120558,142659955,141613941
13639,143084896,142120552,142659954,141613940
13640,143084895,142120551,142659953,141613939
13641,143084894,142119980,142659952,141613938
13642,143084893,142119979,142659951,141613937
13643,143084892,142119978,142659950,141613936
13645,143084887,142119977,142659947,141613935
13647,143084870,142119976,142659946,141613934
13650,143084869,142119975,142659919,141613933
13652,143084868,142119974,142659918,141613932
13653,143084867,142119973,142659917,141613931
13654,143084841,142119972,142659916,141613927
13655,143084840,142119971,142659730,141613926
13656,143084839,142119970,142659729,141613925
13657,143084782,142119969,142659728,141613924
13658,143084781,142119968,142659726,141613923
13659,143084780,142119967,142659724,141613922
13660,143084779,142119966,142659723,141613919
13661,143084778,142119965,142659722,141613918
13662,143084777,142119964,142659721,141613813
13663,143084776,142119963,142659720,141613812
13664,143084775,142119962,142659719,141613811
13665,143084774,142119961,142659718,141613810
13666,143084773,142119960,142659717,141613809
13667,143084772,142119959,142659716,141613808
13668,143084767,142119958,142659715,141613751
13669,143084685,142119957,142659714,141613738
13670,143084684,142119081,142659713,141613707
13671,143084683,142119080,142659710,141613706
13672,143084682,142119079,142659607,141613705
13673,143084681,142119078,142659606,141613704
13674,143084680,142119077,142659605,141613703
13675,143084679,142119076,142659604,141613349
13676,143084678,142119075,142659603,141613340
13677,143084668,142119074,142659544,141613331
13678,143084667,142119073,142659543,141613330
13679,143084664,142119072,142659483,141533037
13680,143084451,142119071,142659482,141533036
13681,143084422,142119070,142659267,141533035
13682,143084421,142118865,142659266,141533034
13683,143084420,142118864,142659265,141533033
13684,143084419,142118863,142659264,141532802
13685,143084418,142118862,142659263,141532564
13686,143084001,142118861,142659262,141532498
13687,143083958,142118860,142659258,141532497
13688,143083957,142118859,142659257,141532496
13689,143083956,142118858,142659254,141532464
13690,143083955,142118857,142659253,141532463
13691,143083954,142118429,142659251,141532462
13692,143083953,142118428,142659250,141532461
13693,143083952,142118425,142659249,141532460
13694,143083951,142118424,142659192,141532323
13695,143083950,142118423,142659191,141532322
13696,143083949,142118125,142659190,141532260
13697,143083948,142118117,142659189,141532259
13698,143083947,142118076,142659172,141532258
13699,143083946,142118075,142659152,141532257
13700,143083883,142117749,142659151,141532256
13701,143083882,142117748,142659150,141532255
13702,143083881,142117747,142659149,141532254
13703,143083880,142117746,142659055,141532253
13704,143083879,142117745,142659054,141532252
13705,143083878,142117602,142659053,141532237
13706,143083876,142117601,142659052,141532154
13707,143083875,142117599,142659051,141532153
13708,143083874,142117598,142659050,141532151
13709,143083873,142117597,142659049,141532150
13710,143083872,142117594,142659048,141532149
13711,143083871,142117593,142659047,141532148
13712,143083870,142117590,142659027,141532147
13713,143083869,142117589,142659026,141532146
13714,143083653,142117588,142659025,141532145
13715,143083652,142117587,142658582,141532144
13716,143083651,142117586,142658579,141532143
13717,143083612,142117585,142658577,141531838
13718,143083611,142117584,142658576,141531837
13719,143083610,142117583,142658120,141531836
13723,143083609,142117582,142658119,141531835
13724,143083608,142117580,142658118,141531834
13725,143083607,142117579,142658117,141531833
13726,143083429,142117578,142658116,141531832
13728,143083428,142117577,142658115,141531564
13729,143083059,142117576,142658114,141531563
13730,143083058,142117575,142658113,141531559
13731,143083057,142117573,142658112,141531558
13732,143083056,142117344,142658111,141531557
13733,143083055,142117343,142658110,141531556
13734,143083021,142117342,142658037,141531555
13735,143083020,142117341,142658036,141531554
13736,143083019,142117297,142658035,141531553
13737,143082940,142117290,142658034,141531552
13738,143082939,142117289,142658033,141531551
13739,143082938,142117288,142658032,141531550
13740,143082827,142117287,142658031,141531549
13741,143082826,142117286,142658030,141531544
13742,143082825,142117283,142658029,141531543
13743,143082824,142117282,142658028,141531542
